Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
18,18,18,18,18,2017-06-06 00:14:00,73,6,"ACC开,3D定位,天线正常","湖北省孝感市汉川市虾民线,距湖北富祥棉业有限公司 约352米,距柘树口村 约662米",113.86325,30.729944,961.4679338789207,6
19,19,19,19,19,2017-06-06 00:15:00,75,6,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距柘树口村 约422米,距中节能(汉川)光伏农业科技有限公司 约654米",113.8736,30.728355,1004.9331754892177,6
20,20,20,20,20,2017-06-06 00:16:00,82,7,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距前河岭村 约724米",113.8836,30.725363,1012.092059249284,7
21,21,21,21,21,2017-06-06 00:16:00,77,7,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距邓家角 约630米,距张家台 约777米",113.89419,30.722206,1071.4153036596838,7
22,22,22,22,22,2017-06-06 00:17:00,77,8,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区,距张家台 约473米,距韩家湾 约562米",113.9051,30.720816,1054.2783357471167,8
23,23,23,23,23,2017-06-06 00:18:00,68,8,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区,距潘家台 约330米",113.9153,30.721193,975.9241354950391,8
24,24,24,24,24,2017-06-06 00:19:00,63,8,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G42(沪蓉高速),距顺港村 约676米,距潘家台 约805米",113.92337,30.722073,777.591891245723,8
25,25,25,25,25,2017-06-06 00:20:00,73,8,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区,距袁家台 约339米",113.93431,30.72245,1046.5866243299818,8
26,26,26,26,26,2017-06-06 00:20:00,86,9,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区惠安大道,距袁家台 约689米,距刘家台 约833米",113.94497,30.721458,1024.9379040118338,9
27,27,27,27,27,2017-06-06 00:21:00,68,9,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区,距六港村 约625米",113.95508,30.719118,1000.8417246212503,9
28,28,28,28,28,2017-06-06 00:22:00,76,9,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区,距前港村 约495米",113.9646,30.715614,989.9554824875844,9
29,29,29,29,29,2017-06-06 00:23:00,76,10,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区,距草场村 约288米,距前港村 约540米",113.97432,30.711735,1024.4384499226705,10
30,30,30,30,30,2017-06-06 00:24:00,77,10,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区荷花街,距武汉有乐展柜制造有限公司 约102米,距华宏耐火保温材料有限公司泡沫厂 约131米",113.98364,30.7073,1018.3789299705555,10
31,31,31,31,31,2017-06-06 00:24:00,79,10,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区革新大道,距荷花苑还建小区2期 约226米,距荷花苑还建小区1期 约227米",113.99226000000002,30.701956,1016.0196166107856,10
32,32,32,32,32,2017-06-06 00:25:00,78,11,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距武汉双义汽车维修服务有限公司 约123米,距武汉市东西湖武玻管道厂 约276米",114.00098,30.696451,1034.3213105347709,11
33,33,33,33,33,2017-06-06 00:26:00,75,11,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区,距武汉鑫隆建材有限公司 约370米,距飞利浦希望小学 约472米",114.00938,30.690517,1039.4667822853903,11
34,34,34,34,34,2017-06-06 00:27:00,76,11,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区食品北路,距新池村 约277米",114.01695,30.68423,1006.3345501768648,11
35,35,35,35,35,2017-06-06 00:28:00,74,12,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区东吴大道,距新池村 约698米",114.026115,30.680445,972.2543679552646,12
36,36,36,36,36,2017-06-06 00:28:00,69,12,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新岭一路,距金松大队 约663米,距金松村 约747米",114.03537,30.67905,898.5587704174844,12
37,37,37,37,37,2017-06-06 00:29:00,69,12,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区金山南路,距金松大队 约500米,距金松村 约573米",114.03809,30.67197,829.1243557179379,12
38,38,38,38,38,2017-06-06 00:30:00,68,13,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区东吴大道,距樱花轮胎 约529米,距走马岭 约670米",114.03998,30.663727,934.2360930545492,13
39,39,39,39,39,2017-06-06 00:31:00,72,13,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区,距武汉景禾系统门窗有限公司 约363米,距走马岭地税所 约420米",114.042885,30.65562000000001,943.3120134482707,13
40,40,40,40,40,2017-06-06 00:32:00,72,13,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距湖北武汉双汇食品有限公司 约330米,距新征村 约431米",114.0468,30.647415,986.2291109792708,13
41,41,41,41,41,2017-06-06 00:32:00,39,14,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区太平洋路,距建国村 约188米,距武汉吉豪汽车销售有限公司 约211米",114.04914,30.639421,916.6491587811214,14
42,42,42,42,42,2017-06-06 00:33:00,45,14,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区汇通路,距建国村 约198米,距走马岭工业园 约352米",114.0498,30.636154,368.7213401715051,14
43,43,43,43,43,2017-06-06 00:34:00,15,14,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区革新大道,距走马岭工业园 约427米,距建华管桩 约429米",114.05189,30.633640000000003,343.70053130640997,14
44,44,44,44,44,2017-06-06 00:35:00,12,14,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区革新大道,距走马岭工业园 约466米,距建华管桩 约468米",114.0519,30.633278000000004,40.26398955029546,14
45,45,45,45,45,2017-06-06 00:36:00,43,14,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区,距武汉空港综合保税区 约475米,距吴家山火车站 约577米",114.05234,30.629140000000003,462.0471549176099,14
46,46,46,46,46,2017-06-06 00:36:00,62,14,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区高桥二路,距武汉空港综合保税区 约398米,距旭迪豪别墅砖 约420米",114.058975,30.627413,663.260477090963,14
47,47,47,47,47,2017-06-06 00:42:00,0,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约319米,距中国一汽 约299米",114.086754,30.629148,2664.951796106979,17
48,48,48,48,48,2017-06-06 00:42:00,0,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约319米,距中国一汽 约300米",114.08675,30.629147,0.3985517026189895,17
49,49,49,49,49,2017-06-06 00:44:00,0,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约319米,距中国一汽 约300米",114.08675,30.629147,0.0,17
50,50,50,50,50,2017-06-06 00:45:00,0,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约319米,距中国一汽 约300米",114.08675,30.629147,0.0,17
51,51,51,51,51,2017-06-06 00:46:00,0,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约319米,距中国一汽 约300米",114.08675,30.629147,0.0,17
52,52,52,52,52,2017-06-06 00:46:00,0,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约319米,距中国一汽 约300米",114.08675,30.629147,0.0,17
53,53,53,53,53,2017-06-06 00:47:00,14,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十九路,距四大队 约314米,距幸福小学 约239米",114.08591,30.628593,101.26490866130017,17
54,54,54,54,54,2017-06-06 00:48:00,8,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约173米,距三大队 约256米",114.08674,30.627485,146.5818850921906,17
55,55,55,55,55,2017-06-06 00:49:00,10,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约144米,距轮胎补胎 约235米",114.08765,30.627766,92.50810352044998,17
56,56,56,56,56,2017-06-06 00:50:00,11,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约274米,距中国一汽 约276米",114.08733,30.628906,130.40777178722576,17
57,57,57,57,57,2017-06-06 00:50:00,0,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约290米,距三大队 约405米",114.086845,30.628895,46.421750370296614,17
58,58,58,58,58,2017-06-06 00:51:00,0,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约322米,距中国一汽 约282米",114.08691,30.629234000000004,38.20474823574713,17
59,59,59,59,59,2017-06-06 00:52:00,18,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约303米,距中国一汽 约227米",114.08766,30.629244,71.76965233925054,17
60,60,60,60,60,2017-06-06 00:53:00,35,17,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十七路,距中国一汽 约264米,距四大队 约382米",114.09106,30.628918,327.33062424756235,17
61,61,61,61,61,2017-06-06 00:54:00,18,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十六路,距金航工业园 约92米,距中体科技园 约630米",114.09734,30.628164,606.7043918725948,18
62,62,62,62,62,2017-06-06 00:54:00,20,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十六路,距金航工业园 约104米,距中体科技园 约658米",114.09698,30.628366,41.12198016076824,18
63,63,63,63,63,2017-06-06 00:55:00,43,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十七路,距中国一汽 约276米,距四大队 约414米",114.09139,30.629040000000003,540.0871006401744,18
64,64,64,64,64,2017-06-06 00:56:00,43,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区田园大道,距幸福新城兴达小区 约310米,距幸福小学 约312米",114.08566,30.629719,553.4278704649421,18
65,65,65,65,65,2017-06-06 00:59:00,16,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十九路,距幸福新城兴达小区 约272米,距幸福小学 约270米",114.08516000000002,30.629543,51.6885989772633,18
66,66,66,66,66,2017-06-06 01:00:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区田园大道,距四大队 约356米,距幸福小学 约333米",114.08644,30.629381,123.78955344352093,18
67,67,67,67,67,2017-06-06 01:01:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约322米,距中国一汽 约305米",114.08668,30.629147,34.703684248460945,18
68,68,68,68,68,2017-06-06 01:02:00,13,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区新城十八路,距四大队 约308米,距幸福小学 约309米",114.08653,30.628933,27.788924566263344,18
69,69,69,69,69,2017-06-06 01:03:00,11,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约224米,距三大队 约237米",114.08611,30.627497,164.65549823043932,18
70,70,70,70,70,2017-06-06 01:04:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,87.13767110715875,18
71,71,71,71,71,2017-06-06 01:04:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
72,72,72,72,72,2017-06-06 01:08:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
73,73,73,73,73,2017-06-06 01:11:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
74,74,74,74,74,2017-06-06 01:14:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
75,75,75,75,75,2017-06-06 01:18:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
76,76,76,76,76,2017-06-06 01:21:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
77,77,77,77,77,2017-06-06 01:24:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
78,78,78,78,78,2017-06-06 01:28:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
79,79,79,79,79,2017-06-06 01:31:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
80,80,80,80,80,2017-06-06 01:34:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
81,81,81,81,81,2017-06-06 01:37:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
82,82,82,82,82,2017-06-06 01:41:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
83,83,83,83,83,2017-06-06 01:44:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
84,84,84,84,84,2017-06-06 01:47:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
85,85,85,85,85,2017-06-06 01:50:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
86,86,86,86,86,2017-06-06 01:54:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
87,87,87,87,87,2017-06-06 01:57:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
88,88,88,88,88,2017-06-06 02:00:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
89,89,89,89,89,2017-06-06 02:04:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
90,90,90,90,90,2017-06-06 02:07:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
91,91,91,91,91,2017-06-06 02:10:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
92,92,92,92,92,2017-06-06 02:13:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
93,93,93,93,93,2017-06-06 02:17:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
94,94,94,94,94,2017-06-06 02:20:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
95,95,95,95,95,2017-06-06 02:23:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
96,96,96,96,96,2017-06-06 02:26:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
97,97,97,97,97,2017-06-06 02:30:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
98,98,98,98,98,2017-06-06 02:33:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
99,99,99,99,99,2017-06-06 02:36:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
100,100,100,100,100,2017-06-06 02:39:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
101,101,101,101,101,2017-06-06 02:43:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
102,102,102,102,102,2017-06-06 02:46:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
103,103,103,103,103,2017-06-06 02:49:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
104,104,104,104,104,2017-06-06 02:53:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
105,105,105,105,105,2017-06-06 02:56:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
106,106,106,106,106,2017-06-06 02:59:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
107,107,107,107,107,2017-06-06 03:02:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
108,108,108,108,108,2017-06-06 03:06:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
109,109,109,109,109,2017-06-06 03:09:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
110,110,110,110,110,2017-06-06 03:12:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
111,111,111,111,111,2017-06-06 03:15:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
112,112,112,112,112,2017-06-06 03:19:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
113,113,113,113,113,2017-06-06 03:22:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
114,114,114,114,114,2017-06-06 03:25:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
115,115,115,115,115,2017-06-06 03:29:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
116,116,116,116,116,2017-06-06 03:32:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
117,117,117,117,117,2017-06-06 03:35:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
118,118,118,118,118,2017-06-06 03:38:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
119,119,119,119,119,2017-06-06 03:42:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
120,120,120,120,120,2017-06-06 03:45:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
121,121,121,121,121,2017-06-06 03:48:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
122,122,122,122,122,2017-06-06 03:51:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
123,123,123,123,123,2017-06-06 03:55:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
124,124,124,124,124,2017-06-06 03:58:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
125,125,125,125,125,2017-06-06 04:01:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
126,126,126,126,126,2017-06-06 04:05:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
127,127,127,127,127,2017-06-06 04:08:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
128,128,128,128,128,2017-06-06 04:11:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
129,129,129,129,129,2017-06-06 04:14:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
130,130,130,130,130,2017-06-06 04:18:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
131,131,131,131,131,2017-06-06 04:21:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
132,132,132,132,132,2017-06-06 04:24:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
133,133,133,133,133,2017-06-06 04:27:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
134,134,134,134,134,2017-06-06 04:31:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
135,135,135,135,135,2017-06-06 04:34:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
136,136,136,136,136,2017-06-06 04:37:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
137,137,137,137,137,2017-06-06 04:40:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
138,138,138,138,138,2017-06-06 04:44:00,0,18,"ACC开,3D定位,天线正常","湖北省武汉市东西湖区G316(福兰线),距四大队 约142米,距三大队 约208米",114.086784,30.62697,0.0,18
